age,gender,city_tier,marital_status,dependents,education,occupation,years_experience,employer_type,job_switches,monthly_salary,monthly_expenses,disposable_income,income_volatility,savings_balance,existing_investments,bank_relationship_years,credit_score,credit_history_length_years,num_credit_cards,total_credit_limit,credit_card_outstanding,credit_utilization_ratio,existing_loans_count,existing_emi,past_defaults,late_payments_last_12m,loan_purpose,requested_loan_amount,loan_tenure_months,interest_rate_pct,emi,collateral_available,co_applicant,emi_to_income_ratio,loan_to_income_ratio,total_debt_to_income_ratio,expense_to_income_ratio,disposable_income_after_loan,savings_to_loan_ratio,debt_burden_score,delinquency_score,income_stability_score,employment_tenure_ratio,credit_maturity_score,loan_amount_to_salary_multiple,has_collateral_flag,has_co_applicant_flag,default
43,Male,Tier-2,Married,3,Bachelor's,Salaried - Private,23,MNC,6,40800.0,25600.0,15200.0,0.117,309800.0,142100.0,22,618,20,2,44000.0,14000.0,0.318,2,5800.0,0,1,Personal,115000.0,36,14.85,3978.0,0,0,0.24,0.235,0.25,0.627,5422.0,2.694,0.295,1,0.93,3.83,0.786,2.8,0,0,0
28,Male,Tier-2,Married,2,High School,Salaried - Government,5,Government,0,10200.0,4200.0,6000.0,0.155,52800.0,14300.0,7,590,6,2,55000.0,20200.0,0.367,0,0.0,0,0,Personal,32000.0,24,14.08,1538.0,0,0,0.151,0.261,0.21,0.412,4462.0,1.65,0.186,0,0.622,5.0,0.503,3.1,0,0,0
31,Male,Tier-2,Married,2,High School,Self-Employed - Professional,13,Self-Employed,2,29400.0,17500.0,11900.0,0.301,129100.0,34700.0,10,561,9,3,135000.0,51400.0,0.381,4,4800.0,3,1,Home,1252000.0,240,9.52,11687.0,1,0,0.561,3.549,0.613,0.595,-4587.0,0.103,0.555,7,0.657,6.5,0.595,42.6,1,0,1
38,Female,Tier-2,Married,4,Master's,Salaried - Private,16,Startup,4,76000.0,40300.0,35700.0,0.052,1296600.0,123900.0,17,607,17,4,106000.0,23900.0,0.225,2,14000.0,0,0,Personal,286000.0,24,14.71,13828.0,1,0,0.366,0.314,0.376,0.53,7872.0,4.534,0.33,0,0.896,4.0,0.747,3.8,1,0,0
47,Male,Tier-1,Single,1,Bachelor's,Self-Employed - Business,24,Self-Employed,6,60800.0,17200.0,43600.0,0.459,974300.0,80100.0,26,704,25,3,154000.0,53900.0,0.35,3,17600.0,1,0,Home,2670000.0,300,8.77,21988.0,1,0,0.651,3.66,0.678,0.283,4012.0,0.365,0.55,2,0.725,4.0,0.842,43.9,1,0,0
34,Other,Tier-2,Single,0,High School,Salaried - Government,12,Government,5,22700.0,9900.0,12800.0,0.241,123300.0,19600.0,14,499,13,1,50000.0,32100.0,0.642,0,0.0,1,3,Business Expansion,279000.0,60,15.08,6649.0,1,0,0.293,1.024,0.335,0.436,6151.0,0.442,0.339,5,0.71,2.4,0.682,12.3,1,0,0
33,Female,Tier-1,Married,2,Master's,Gig/Freelance,13,SME,5,63200.0,30400.0,32800.0,0.545,222500.0,106000.0,12,602,10,0,0.0,0.0,0.0,1,3900.0,0,2,Personal,257000.0,36,14.64,8864.0,0,0,0.202,0.339,0.202,0.481,20036.0,0.866,0.141,2,0.526,2.6,0.619,4.1,0,0,0
29,Female,Tier-2,Married,1,Bachelor's,Self-Employed - Business,10,Self-Employed,4,52100.0,19600.0,32500.0,0.501,318800.0,73200.0,9,581,9,1,49000.0,25600.0,0.522,1,2400.0,0,1,Personal,180000.0,24,15.58,8777.0,1,1,0.215,0.288,0.229,0.376,21323.0,1.771,0.304,1,0.492,2.5,0.595,3.5,1,1,0
48,Male,Tier-2,Married,0,Master's,Self-Employed - Business,24,Self-Employed,4,57000.0,15200.0,41800.0,0.488,964700.0,145100.0,23,543,22,1,68000.0,43800.0,0.644,2,9700.0,0,0,Personal,202000.0,12,15.14,18246.0,0,1,0.49,0.295,0.513,0.267,13854.0,4.776,0.518,0,0.707,6.0,0.81,3.5,0,1,0
40,Male,Tier-2,Married,0,Master's,Salaried - Private,19,SME,5,49700.0,22900.0,26800.0,0.151,644000.0,93800.0,18,719,17,4,274000.0,113700.0,0.415,0,0.0,0,0,Personal,161000.0,24,13.38,7683.0,0,0,0.155,0.27,0.223,0.461,19117.0,4.0,0.202,0,0.882,3.8,0.747,3.2,0,0,0
32,Male,Tier-2,Married,3,Master's,Salaried - PSU,9,Large Domestic Co.,1,59400.0,35400.0,24000.0,0.022,297100.0,93000.0,7,628,6,2,104000.0,55600.0,0.535,0,0.0,0,0,Vehicle,676000.0,36,11.65,22340.0,1,0,0.376,0.948,0.404,0.596,1660.0,0.439,0.349,0,0.752,9.0,0.503,11.4,1,0,0
45,Female,Tier-3,Single,0,Bachelor's,Salaried - Private,21,MNC,5,27600.0,9700.0,17900.0,0.153,610000.0,98400.0,21,688,20,1,67000.0,16100.0,0.24,2,5100.0,1,0,Home,867000.0,300,9.18,7383.0,1,0,0.452,2.618,0.47,0.351,5417.0,0.704,0.378,2,0.908,4.2,0.786,31.4,1,0,0
31,Female,Tier-2,Married,0,Bachelor's,Gig/Freelance,8,Startup,3,30100.0,9500.0,20600.0,0.54,81200.0,13100.0,8,569,7,1,66000.0,43400.0,0.658,2,4000.0,0,1,Home,813000.0,240,10.39,8057.0,1,0,0.401,2.251,0.444,0.316,8543.0,0.1,0.478,1,0.436,2.67,0.537,27.0,1,0,0
29,Female,Tier-2,Divorced,3,Bachelor's,Salaried - Government,8,Government,2,30900.0,16900.0,14000.0,0.071,199900.0,25600.0,9,681,7,6,415000.0,152600.0,0.368,2,3300.0,0,0,Gold/Consumer Durable,80000.0,24,15.08,3882.0,1,0,0.232,0.216,0.381,0.547,6818.0,2.499,0.306,0,0.725,4.0,0.537,2.6,1,0,0
48,Male,Tier-3,Married,0,Bachelor's,Salaried - Private,30,Large Domestic Co.,5,35000.0,12200.0,22800.0,0.148,957700.0,50900.0,26,733,26,1,38000.0,9600.0,0.253,5,11700.0,0,1,Vehicle,339000.0,60,9.54,7126.0,1,1,0.538,0.807,0.546,0.349,3974.0,2.825,0.545,1,0.911,6.0,0.851,9.7,1,1,0
28,Male,Tier-3,Married,0,Bachelor's,Salaried - Private,5,SME,0,30200.0,12400.0,17800.0,0.213,120100.0,56300.0,5,587,4,2,132000.0,65100.0,0.493,1,2300.0,0,3,Vehicle,281000.0,60,11.6,6194.0,1,0,0.281,0.775,0.346,0.411,9306.0,0.427,0.328,3,0.572,5.0,0.416,9.3,1,0,0
30,Female,Tier-2,Married,1,Master's,Salaried - Private,7,Large Domestic Co.,2,37500.0,18300.0,19200.0,0.053,284400.0,61000.0,7,691,5,3,202000.0,54300.0,0.269,1,2600.0,0,1,Home,2002000.0,240,8.41,17260.0,1,1,0.53,4.449,0.573,0.488,-660.0,0.142,0.386,1,0.708,3.5,0.463,53.4,1,1,0
28,Female,Tier-3,Single,0,High School,Gig/Freelance,8,Startup,1,9700.0,5500.0,4200.0,0.61,30300.0,17900.0,4,501,2,1,48000.0,25200.0,0.525,1,600.0,0,2,Business Expansion,86000.0,84,14.76,1648.0,0,1,0.232,0.739,0.31,0.567,1952.0,0.352,0.314,2,0.364,8.0,0.284,8.9,0,1,0
42,Female,Tier-2,Single,1,Bachelor's,Salaried - Private,19,MNC,3,34700.0,17400.0,17300.0,0.176,336500.0,115100.0,18,586,17,1,43000.0,17100.0,0.398,1,3100.0,0,1,Home,1551000.0,300,10.01,14105.0,1,0,0.496,3.725,0.511,0.501,95.0,0.217,0.407,1,0.867,6.33,0.747,44.7,1,0,0
43,Male,Tier-2,Married,0,Diploma,Salaried - PSU,19,Large Domestic Co.,5,25700.0,10300.0,15400.0,0.096,303800.0,75100.0,19,660,19,2,111000.0,34300.0,0.309,0,0.0,1,0,Personal,118000.0,12,13.73,10580.0,1,0,0.412,0.383,0.452,0.401,4820.0,2.575,0.299,2,0.922,3.8,0.774,4.6,1,0,0
55,Male,Tier-2,Single,2,Bachelor's,Self-Employed - Professional,36,Self-Employed,9,58000.0,20400.0,37600.0,0.43,1088900.0,439000.0,32,607,30,1,46000.0,22900.0,0.498,1,4100.0,0,1,Education,482000.0,36,11.68,15936.0,1,0,0.345,0.693,0.357,0.352,17564.0,2.259,0.362,1,0.742,4.0,0.887,8.3,1,0,0
23,Male,Tier-1,Single,0,Diploma,Salaried - Government,0,Government,0,14400.0,3100.0,11300.0,0.081,0.0,0.0,0,449,0,1,35000.0,17200.0,0.491,1,900.0,0,1,Home,543000.0,240,11.41,5757.0,1,1,0.462,3.142,0.498,0.215,4643.0,0.0,0.418,1,0.551,0.0,0.0,37.7,1,1,0
29,Male,Tier-2,Married,0,Master's,Self-Employed - Professional,10,Self-Employed,1,71100.0,30600.0,40500.0,0.246,739300.0,196400.0,7,660,7,1,29000.0,10700.0,0.369,2,10000.0,1,0,Vehicle,716000.0,48,10.32,18270.0,1,1,0.398,0.839,0.402,0.43,12230.0,1.033,0.39,2,0.63,10.0,0.537,10.1,1,1,0
40,Male,Tier-3,Married,0,Diploma,Salaried - Private,19,MNC,4,25600.0,8500.0,17100.0,0.197,290700.0,163100.0,16,709,14,3,81000.0,20100.0,0.248,0,0.0,0,2,Personal,70000.0,24,13.79,3354.0,1,0,0.131,0.228,0.155,0.332,13746.0,4.153,0.14,2,0.839,4.75,0.7,2.7,1,0,0
52,Male,Tier-3,Married,0,Bachelor's,Self-Employed - Business,29,Self-Employed,7,45900.0,18900.0,27000.0,0.484,701600.0,380900.0,31,583,31,2,144000.0,85200.0,0.592,2,5900.0,0,3,Personal,252000.0,36,15.16,8755.0,1,1,0.319,0.458,0.375,0.412,12345.0,2.784,0.417,3,0.71,4.14,0.895,5.5,1,1,0
40,Female,Tier-1,Married,4,Bachelor's,Unemployed/Student,0,Not Employed,0,8000.0,4900.0,3100.0,0.799,0.0,0.0,18,508,16,0,0.0,0.0,0.0,1,500.0,0,2,Vehicle,79000.0,84,11.31,1366.0,1,1,0.233,0.823,0.233,0.612,1234.0,0.0,0.157,2,0.256,0.0,0.732,9.9,1,1,0
39,Male,Tier-2,Divorced,0,Bachelor's,Salaried - Private,21,Large Domestic Co.,5,41200.0,13700.0,27500.0,0.143,421700.0,185100.0,20,579,18,3,106000.0,59900.0,0.565,0,0.0,0,0,Personal,169000.0,36,14.61,5826.0,1,0,0.141,0.342,0.185,0.333,21674.0,2.495,0.24,0,0.914,4.2,0.761,4.1,1,0,0
37,Female,Tier-1,Married,0,Bachelor's,Gig/Freelance,15,Not Applicable,3,41000.0,11800.0,29200.0,0.654,109300.0,62700.0,13,719,12,2,112000.0,47700.0,0.426,2,4200.0,0,2,Home,1089000.0,300,8.9,9064.0,1,0,0.324,2.213,0.358,0.288,15936.0,0.1,0.37,2,0.493,5.0,0.663,26.6,1,0,0
35,Male,Tier-2,Single,0,Master's,Salaried - Private,12,SME,2,69100.0,30300.0,38800.0,0.19,400400.0,237100.0,14,627,13,4,225000.0,106100.0,0.472,3,19900.0,2,0,Vehicle,839000.0,36,10.46,27254.0,1,1,0.682,1.012,0.728,0.438,-8354.0,0.477,0.603,4,0.741,6.0,0.682,12.1,1,1,0
25,Male,Tier-3,Single,0,Master's,Self-Employed - Professional,2,Self-Employed,0,45600.0,13700.0,31900.0,0.339,72100.0,25700.0,4,652,4,1,44000.0,19300.0,0.439,2,4100.0,1,0,Home,2165000.0,180,9.65,22804.0,1,0,0.59,3.957,0.603,0.3,4996.0,0.033,0.507,2,0.452,2.0,0.416,47.5,1,0,0
43,Male,Tier-2,Married,2,High School,Self-Employed - Professional,20,Self-Employed,7,26800.0,10000.0,16800.0,0.316,480400.0,111300.0,21,600,21,2,84000.0,42800.0,0.51,0,0.0,0,2,Gold/Consumer Durable,73000.0,6,15.1,12708.0,0,0,0.474,0.227,0.522,0.373,4092.0,6.581,0.39,2,0.81,2.86,0.798,2.7,0,0,0
29,Male,Tier-2,Married,0,Master's,Self-Employed - Business,6,Self-Employed,2,42500.0,11800.0,30700.0,0.495,176600.0,86800.0,8,478,6,3,129000.0,89500.0,0.694,2,5200.0,0,3,Business Expansion,446000.0,60,15.26,10671.0,1,1,0.373,0.875,0.437,0.278,14829.0,0.396,0.475,3,0.438,3.0,0.503,10.5,1,1,1
47,Male,Tier-2,Married,2,Master's,Salaried - Private,25,MNC,4,57200.0,20000.0,37200.0,0.14,1777000.0,689800.0,29,543,27,1,59000.0,34800.0,0.59,2,6100.0,0,0,Business Expansion,502000.0,84,14.78,9625.0,1,0,0.275,0.731,0.293,0.35,21475.0,3.54,0.394,0,0.916,6.25,0.861,8.8,1,0,0
37,Male,Tier-2,Single,0,Master's,Gig/Freelance,19,SME,6,32700.0,9800.0,22900.0,0.628,395800.0,152800.0,12,722,12,2,90000.0,42600.0,0.473,1,2000.0,1,0,Gold/Consumer Durable,69000.0,24,14.08,3315.0,1,0,0.163,0.176,0.202,0.3,17585.0,5.736,0.263,2,0.551,3.17,0.663,2.1,1,0,0
32,Male,Tier-1,Divorced,0,Bachelor's,Gig/Freelance,13,SME,6,33000.0,8800.0,24200.0,0.645,255500.0,9000.0,14,550,12,2,103000.0,57700.0,0.56,1,2600.0,0,4,Education,248000.0,36,13.02,8358.0,1,1,0.332,0.626,0.385,0.267,13242.0,1.03,0.374,4,0.48,2.17,0.663,7.5,1,1,0
37,Other,Tier-1,Single,0,Diploma,Salaried - Private,17,Large Domestic Co.,2,26700.0,7900.0,18800.0,0.216,492600.0,131700.0,14,640,14,3,201000.0,86800.0,0.432,2,4200.0,1,2,Home,1178000.0,120,9.07,14967.0,1,1,0.718,3.677,0.815,0.296,-367.0,0.418,0.569,4,0.788,8.5,0.7,44.1,1,1,0
36,Male,Tier-2,Married,0,Master's,Gig/Freelance,15,SME,4,41500.0,14600.0,26900.0,0.546,492200.0,266800.0,16,548,16,2,79000.0,36700.0,0.465,1,1600.0,0,1,Personal,234000.0,60,15.26,5599.0,1,0,0.173,0.47,0.2,0.352,19701.0,2.103,0.266,1,0.58,3.75,0.732,5.6,1,0,0
40,Male,Tier-2,Single,0,Master's,Salaried - Private,21,Large Domestic Co.,8,74500.0,39300.0,35200.0,0.138,844700.0,356500.0,20,703,18,2,58000.0,18100.0,0.312,4,17800.0,0,1,Personal,370000.0,60,13.49,8512.0,0,0,0.353,0.414,0.36,0.528,8888.0,2.283,0.43,1,0.917,2.62,0.761,5.0,0,0,0
31,Male,Tier-1,Married,3,Master's,Gig/Freelance,11,Not Applicable,3,34400.0,16500.0,17900.0,0.606,46400.0,17900.0,11,635,10,3,215000.0,81900.0,0.381,0,0.0,1,4,Gold/Consumer Durable,54000.0,24,14.78,2613.0,1,1,0.076,0.131,0.147,0.48,15287.0,0.859,0.152,6,0.456,3.67,0.619,1.6,1,1,0
36,Male,Tier-2,Married,0,Master's,Salaried - PSU,15,SME,3,56400.0,11300.0,45100.0,0.026,782400.0,234900.0,14,618,12,2,100000.0,42700.0,0.427,0,0.0,1,1,Vehicle,361000.0,36,11.76,11949.0,1,0,0.212,0.533,0.235,0.2,33151.0,2.167,0.234,3,0.877,5.0,0.663,6.4,1,0,0
43,Male,Tier-3,Married,0,Master's,Salaried - Private,23,SME,4,34100.0,10900.0,23200.0,0.179,404700.0,127000.0,20,638,19,7,270000.0,131100.0,0.486,0,0.0,1,2,Vehicle,194000.0,36,11.22,6372.0,1,0,0.187,0.474,0.302,0.32,16828.0,2.086,0.239,4,0.893,5.75,0.774,5.7,1,0,0
31,Male,Tier-3,Single,0,High School,Self-Employed - Business,10,Self-Employed,3,16800.0,5000.0,11800.0,0.469,215100.0,15800.0,7,647,5,5,261000.0,115300.0,0.442,2,2500.0,0,0,Personal,54000.0,24,13.99,2592.0,1,0,0.303,0.268,0.509,0.298,6708.0,3.983,0.364,0,0.496,3.33,0.463,3.2,1,0,0
30,Female,Tier-1,Single,1,Diploma,Salaried - Private,10,MNC,4,27100.0,10800.0,16300.0,0.112,222800.0,9900.0,9,674,8,2,173000.0,57600.0,0.333,2,4600.0,0,0,Business Expansion,324000.0,24,13.71,15512.0,1,1,0.742,0.996,0.806,0.399,-3812.0,0.688,0.551,0,0.725,2.5,0.568,12.0,1,1,0
41,Male,Tier-2,Married,3,Master's,Self-Employed - Business,18,Self-Employed,6,87500.0,43500.0,44000.0,0.519,669000.0,144100.0,17,602,17,0,0.0,0.0,0.0,2,12300.0,1,0,Vehicle,511000.0,48,10.9,13182.0,1,0,0.291,0.487,0.291,0.497,18518.0,1.309,0.226,2,0.641,3.0,0.747,5.8,1,0,0
54,Female,Tier-1,Married,0,Bachelor's,Salaried - Private,30,MNC,7,50100.0,19700.0,30400.0,0.086,1574900.0,60600.0,34,611,34,3,224000.0,102000.0,0.455,1,3400.0,1,1,Business Expansion,628000.0,60,13.57,14473.0,0,0,0.357,1.045,0.418,0.393,12527.0,2.508,0.355,3,0.948,4.29,0.918,12.5,0,0,0
34,Male,Tier-3,Married,1,Bachelor's,Salaried - Private,15,Startup,4,35200.0,10900.0,24300.0,0.168,347400.0,99700.0,15,424,14,1,23000.0,12300.0,0.535,0,0.0,0,1,Vehicle,354000.0,36,13.2,11962.0,1,0,0.34,0.838,0.35,0.31,12338.0,0.981,0.33,1,0.799,3.75,0.7,10.1,1,0,0
52,Male,Tier-1,Married,1,Diploma,Salaried - Government,28,Government,8,35800.0,13900.0,21900.0,0.027,688400.0,333500.0,32,725,32,4,202000.0,48200.0,0.239,0,0.0,0,0,Personal,162000.0,36,13.38,5488.0,0,0,0.153,0.377,0.194,0.388,16412.0,4.249,0.148,0,0.984,3.5,0.903,4.5,0,0,0
26,Male,Tier-1,Single,0,Bachelor's,Salaried - Government,4,Government,1,28800.0,7900.0,20900.0,0.114,105800.0,37500.0,5,667,3,3,128000.0,39400.0,0.308,1,1100.0,0,1,Business Expansion,225000.0,60,13.26,5149.0,1,0,0.217,0.651,0.258,0.274,14651.0,0.47,0.241,1,0.619,4.0,0.358,7.8,1,0,0
31,Male,Tier-2,Single,0,Bachelor's,Salaried - Private,11,Large Domestic Co.,2,55900.0,18600.0,37300.0,0.152,396800.0,63100.0,7,663,5,4,153000.0,50400.0,0.329,1,3800.0,0,3,Vehicle,707000.0,84,10.29,11843.0,1,0,0.28,1.054,0.307,0.333,21657.0,0.561,0.279,3,0.699,5.5,0.463,12.6,1,0,0
47,Female,Tier-2,Married,3,Bachelor's,Salaried - Private,25,SME,7,41600.0,19400.0,22200.0,0.256,977400.0,502400.0,24,679,23,2,101000.0,35300.0,0.35,0,0.0,2,2,Home,1148000.0,180,9.52,12002.0,1,0,0.289,2.3,0.314,0.466,10198.0,0.851,0.25,6,0.846,3.57,0.821,27.6,1,0,0
28,Male,Tier-1,Married,1,High School,Gig/Freelance,4,SME,0,20200.0,9400.0,10800.0,0.7,53700.0,500.0,7,605,6,5,195000.0,77500.0,0.397,0,0.0,1,2,Personal,71000.0,24,13.85,3404.0,1,0,0.169,0.293,0.284,0.465,7396.0,0.756,0.204,4,0.283,4.0,0.503,3.5,1,0,0
41,Male,Tier-1,Married,1,Bachelor's,Self-Employed - Business,19,Self-Employed,4,63500.0,31100.0,32400.0,0.456,566400.0,130400.0,23,605,22,6,323000.0,162400.0,0.503,0,0.0,0,2,Vehicle,425000.0,60,10.94,9228.0,1,0,0.145,0.558,0.222,0.49,23172.0,1.333,0.223,2,0.714,4.75,0.81,6.7,1,0,0
29,Male,Tier-2,Married,2,Diploma,Self-Employed - Professional,6,Self-Employed,0,41400.0,17500.0,23900.0,0.37,102000.0,46800.0,7,561,7,3,183000.0,94800.0,0.518,3,7600.0,0,0,Home,1868000.0,240,11.09,19396.0,1,0,0.652,3.76,0.721,0.423,-3096.0,0.055,0.601,0,0.506,6.0,0.537,45.1,1,0,0
29,Female,Tier-2,Single,0,Bachelor's,Salaried - Private,6,MNC,1,24500.0,8500.0,16000.0,0.138,117300.0,25800.0,5,696,4,2,131000.0,44700.0,0.341,2,2000.0,1,0,Vehicle,239000.0,84,9.14,3862.0,1,0,0.239,0.813,0.294,0.347,10138.0,0.491,0.302,2,0.63,6.0,0.416,9.8,1,0,0
32,Male,Tier-2,Divorced,0,Master's,Salaried - PSU,10,SME,2,39200.0,12300.0,26900.0,0.02,147800.0,46700.0,11,609,11,4,142000.0,54200.0,0.382,2,2800.0,1,1,Gold/Consumer Durable,102000.0,18,16.13,6418.0,0,0,0.235,0.217,0.277,0.314,17682.0,1.449,0.312,3,0.796,5.0,0.642,2.6,0,0,0
